Title,Author,Length
I Will Mend You,Gigi Styx,Length: 18 hrs and 53 mins
The Study of Fire,Maria V. Snyder,Length: 10 hrs and 31 mins
Grouch-ish,L.B. Dunbar,Length: 5 hrs and 36 mins
Test Me,Neve Wilder,Length: 2 hrs and 46 mins
Broken Heart,Ivy Layne,Length: 8 hrs and 22 mins
The Win Machine,Ryan McBeth,Length: 5 hrs and 56 mins
Be a People Person,John C. Maxwell,Length: 4 hrs and 50 mins
Wrong Side of the Tracks Box Set,K.A. Merikan,Length: 50 hrs and 3 mins
Xmas Break,J. E. Rowney,Length: 4 hrs and 11 mins
The Fall Out,Jenni Bara,Length: 8 hrs and 55 mins
The Southern Fraud,Peter O'Mahoney,Length: 7 hrs and 10 mins
Van Helsing's Castle: The Complete Omnibus,Virgil Knightley,Length: 25 hrs and 58 mins
The Dark Before Light,L.M. Halloran,Length: 9 hrs and 50 mins
Threshold,Will Wight,Length: 8 hrs and 35 mins
The Death of Robertfrank615,Robert Frank,Length: 4 hrs and 33 mins
Dark Princess: Shadows,I. T. Lucas,Length: 8 hrs and 41 mins
Burned,Mika Nix,Length: 7 hrs and 35 mins
Women Embracing Peace,Eve Meadows,Length: 5 hrs and 5 mins
Master of Runes Omnibus,Isaac Keyes,Length: 29 hrs and 31 mins
"Sister, Soldier, Surgeon",Dr. Leisa Marie Carzon,Length: 8 hrs and 52 mins
